# time rate rate_error
0.000000 -0.000023 0.075462
0.027778 0.010180 0.056607
0.055556 0.017042 0.062484
0.083333 0.023746 0.054004
0.111111 -0.030734 0.049336
0.138889 -0.078575 0.040844
0.166667 0.098260 0.053688
0.194444 -0.040504 0.028635
0.222222 -0.023780 0.041163
0.250000 -0.003392 0.037191
0.277778 0.020294 0.039173
0.305556 0.064068 0.047815
0.333333 0.006779 0.039884
0.361111 0.033688 0.043939
0.388889 0.033702 0.046474
0.416667 0.050753 0.046032
0.444444 -0.000012 0.039762
0.472222 0.027250 0.036059
0.500000 0.036991 0.035115
0.527778 0.030526 0.032361
0.555556 0.010123 0.033257
0.583333 0.061574 0.037787
0.611111 0.023673 0.032622
0.638889 0.017155 0.025450
0.666667 0.023514 0.032402
0.694444 -0.040551 0.032405
0.722222 0.054177 0.037710
0.750000 0.037436 0.038662
0.777778 0.013515 0.033121
0.805556 0.081182 0.042252
0.833333 0.047212 0.040754
0.861111 0.027221 0.036019
0.888889 0.047235 0.034740
0.916667 0.016936 0.020041
0.944444 0.081031 0.033081
0.972222 0.081953 0.036778
1.000000 0.290079 0.063463
1.027778 0.346467 0.070318
1.055556 0.506845 0.083454
1.083333 0.803575 0.105309
1.111111 0.821377 0.106239
1.138889 0.710123 0.099118
1.166667 0.535046 0.086928
1.194444 0.392664 0.075995
1.222222 0.276999 0.065678
1.250000 0.351451 0.076766
1.277778 0.255857 0.068657
1.305556 0.233733 0.065249
1.333333 0.121993 0.050721
1.361111 0.101815 0.041567
1.388889 0.114073 0.043228
1.416667 0.081792 0.036706
1.444444 0.091093 0.035864
1.472222 0.034228 0.024204
1.500000 0.003366 0.014680
1.527778 0.044232 0.031739
1.555556 0.037037 0.038250
1.583333 0.037160 0.028063
1.611111 0.023710 0.019458
1.638889 0.064354 0.037260
1.666667 0.003403 0.030301
1.694444 0.026954 0.035666
1.722222 0.006727 0.029734
1.750000 0.087976 0.041993
1.777778 0.047780 0.041245
1.805556 0.084842 0.042254
1.833333 0.033953 0.032215
1.861111 0.010159 0.025576
1.888889 0.047350 0.031367
1.916667 0.051029 0.031366
1.944444 0.006761 0.020848
1.972222 0.050788 0.031218
2.000000 0.050639 0.034596
2.027778 0.040546 0.031700
2.055556 0.067646 0.037053
2.083333 0.020292 0.024855
2.111111 0.033782 0.028266
2.138889 0.010210 0.025706
2.166667 -0.023634 0.027628
2.194444 0.051163 0.038139
2.222222 0.020531 0.029443
2.250000 0.040953 0.032017
2.277778 0.040783 0.046614
2.305556 -0.020505 0.038339
2.333333 0.102073 0.053804
2.361111 0.020451 0.044990
2.388889 0.010351 0.034006
2.416667 0.030534 0.035752
2.444444 0.061410 0.040659
2.472222 0.010156 0.033367
2.500000 0.037146 0.038363
2.527778 -0.006842 0.034501
2.555556 -0.000012 0.040277
2.583333 -0.043898 0.059509
2.611111 -0.027130 0.055466
2.638889 0.054529 0.078261
2.666667 0.062457 0.085961
2.694444 0.067665 0.062405
2.722222 0.111952 0.063206
2.750000 -0.020374 0.048691
2.777778 0.064177 0.047897
2.805556 0.068737 0.053255
2.833333 -0.000005 0.026240
2.861111 0.016918 0.020020
2.888889 0.050908 0.027362
2.916667 0.020295 0.019724
2.944444 0.037302 0.023738
2.972222 0.020442 0.019867
3.000000 0.057706 0.030926
3.027778 0.037007 0.023550
3.055556 0.003363 0.014665
3.083333 0.043873 0.027625
3.111111 0.114741 0.040777
3.138889 0.027192 0.024512
3.166667 0.094560 0.038801
3.194444 0.105276 0.041455
3.222222 0.205958 0.054338
3.250000 0.377201 0.073593
3.277778 0.650772 0.098134
3.305556 0.615768 0.094371
3.333333 0.869011 0.112825
3.361111 0.718260 0.100961
3.388889 0.546746 0.088491
3.416667 0.522396 0.084873
3.444444 0.475912 0.081217
3.472222 0.196323 0.058825
3.500000 0.279181 0.066195
3.527778 0.165433 0.053491
3.555556 0.151312 0.049305
3.583333 0.080694 0.044609
3.611111 0.145205 0.051989
3.638889 -0.000010 0.036955
3.666667 0.108603 0.053452
3.694444 0.016831 0.036116
3.722222 0.056566 0.053696
3.750000 0.000000 0.000000
3.777778 -0.033988 0.028429
3.805556 0.071255 0.040007
3.833333 -0.003406 0.021785
3.861111 0.037591 0.032243
3.888889 -0.000002 0.015498
3.916667 0.020280 0.024841
3.944444 0.057871 0.031014
3.972222 0.040693 0.027965
4.000000 0.006808 0.014445
4.027778 0.040430 0.027784
4.055556 0.033817 0.023913
4.083333 0.016882 0.019977
4.111111 0.040764 0.023535
4.138889 0.020243 0.019673
4.166667 0.020277 0.019707
4.194444 0.040977 0.023658
4.222222 0.000000 0.000000
4.250000 0.043929 0.027661
4.277778 -0.013712 0.006856
4.305556 0.044080 0.027755
4.333333 0.050813 0.031233
4.361111 0.043793 0.027575
4.388889 0.060666 0.030520
4.416667 0.037045 0.023575
4.444444 0.013560 0.020344
4.472222 0.023685 0.024636
4.500000 0.027163 0.024486
4.527778 0.020243 0.019674
4.555556 -0.020404 0.008330
4.583333 -0.013438 0.016454
4.611111 0.040876 0.028091
4.638889 -0.006734 0.015787
4.666667 0.020200 0.019632
4.694444 0.020222 0.019653
4.722222 -0.000002 0.015185
4.750000 0.105228 0.038554
4.777778 0.023554 0.019330
4.805556 0.023635 0.019396
4.833333 0.020333 0.019761
4.861111 0.047716 0.027690
4.888889 0.037339 0.023762
4.916667 0.040571 0.023424
4.944444 0.003352 0.020953
4.972222 0.014079 0.014079
5.000000 0.077437 0.033159
5.027778 0.000000 0.000000
5.055556 0.000000 0.000000
5.083333 0.037174 0.023656
5.111111 0.088382 0.036295
5.138889 0.023597 0.019365
5.166667 0.088002 0.036139
5.194444 0.023527 0.019308
5.222222 0.013506 0.013506
5.250000 0.057489 0.030810
5.277778 0.020340 0.019768
5.305556 0.090806 0.035751
5.333333 0.020358 0.019785
5.361111 0.033800 0.023901
5.388889 0.010106 0.013890
5.416667 0.010092 0.013871
5.444444 0.023489 0.019277
5.472222 0.027011 0.019100
5.500000 0.047611 0.027629
5.527778 0.157847 0.047795
5.555556 0.342583 0.069431
5.583333 0.383868 0.072689
5.611111 0.534091 0.086974
5.638889 0.823620 0.108590
5.666667 0.728704 0.099683
5.694444 0.703110 0.099821
5.722222 0.454147 0.079963
5.750000 0.595979 0.090537
5.777778 0.372119 0.071762
5.805556 0.294537 0.063608
5.833333 0.181845 0.050625
5.861111 0.185143 0.050494
5.888889 0.089071 0.036578
5.916667 0.132464 0.043097
5.944444 0.097955 0.038661
5.972222 0.033657 0.023800
6.000000 0.037133 0.028043
6.027778 0.077676 0.033262
6.055556 0.006772 0.014368
6.083333 0.023814 0.024769
6.111111 0.027053 0.019129
6.138889 0.040288 0.023261
6.166667 0.026951 0.019057
6.194444 0.003358 0.014644
6.222222 0.023616 0.019381
6.250000 0.010199 0.020684
6.277778 0.023764 0.024717
6.305556 0.054672 0.034850
6.333333 0.013538 0.020310
6.361111 0.003391 0.014788
6.388889 0.016913 0.020014
6.416667 0.023848 0.019571
6.444444 0.053872 0.030860
6.472222 0.030512 0.028570
6.500000 0.043870 0.034911
6.527778 0.055255 0.044233
6.555556 0.050765 0.027286
6.583333 0.023599 0.019367
6.611111 0.003369 0.014691
6.638889 0.037196 0.028090
6.666667 0.037420 0.032096
6.694444 0.026849 0.024203
6.722222 0.047217 0.027400
6.750000 0.023775 0.019512
6.777778 0.050966 0.027393
6.805556 0.024038 0.019727
6.833333 0.040714 0.023506
6.861111 0.063813 0.030228
6.888889 -0.003391 0.003391
6.916667 0.033769 0.023879
6.944444 0.050621 0.027208
6.972222 0.037220 0.023686
7.000000 0.013444 0.013444
7.027778 0.064886 0.030735
7.055556 0.013478 0.013478
7.083333 0.040934 0.023633
7.111111 0.043901 0.027643
7.138889 0.010152 0.013953
7.166667 0.050574 0.027183
7.194444 0.047277 0.027435
7.222222 0.050435 0.027108
7.250000 0.050544 0.027167
7.277778 0.037400 0.023800
7.305556 0.006742 0.014304
7.333333 0.078557 0.033639
7.361111 0.037340 0.023762
7.388889 -0.003368 0.003368
7.416667 0.000000 0.000000
7.444444 0.020265 0.019695
7.472222 0.047214 0.027399
7.500000 0.064136 0.030380
7.527778 0.023663 0.019420
7.555556 0.054485 0.027243
7.583333 0.054035 0.027018
7.611111 0.016833 0.024973
7.638889 0.074180 0.033380
7.666667 0.043935 0.027664
7.694444 0.027093 0.019158
7.722222 0.033544 0.023720
7.750000 0.033807 0.023906
7.777778 0.020250 0.019681
7.805556 0.064689 0.030642
7.833333 0.097771 0.038588
7.861111 0.111334 0.040905
7.888889 0.172742 0.048967
7.916667 0.213161 0.054242
7.944444 0.323308 0.067692
7.972222 0.376319 0.071838
8.000000 0.506610 0.083416
8.027778 0.676462 0.096753
8.055556 0.550426 0.086556
8.083333 0.430304 0.076068
8.111111 0.303836 0.065756
8.138889 0.394670 0.074005
8.166667 0.276808 0.062062
8.194444 0.129497 0.043375
8.222222 0.145683 0.045074
8.250000 0.080913 0.033032
8.277778 0.084892 0.036415
8.305556 0.087693 0.036012
8.333333 -0.010130 0.005849
8.361111 0.053997 0.030932
8.388889 0.023629 0.019391
8.416667 0.040564 0.027876
8.444444 -0.003379 0.003379
8.472222 0.023477 0.019267
8.500000 0.030290 0.024036
8.527778 0.023139 0.022488
8.555556 0.003382 0.014748
8.583333 -0.013686 0.009677
8.611111 0.010106 0.013891
8.638889 0.103642 0.051821
8.666667 0.010086 0.013862
8.694444 0.020172 0.019605
8.722222 0.030948 0.024558
8.750000 0.013676 0.020517
8.777778 0.037211 0.023680
8.805556 0.050586 0.027189
8.833333 0.051376 0.027614
8.861111 0.026873 0.019002
8.888889 0.027008 0.019098
8.916667 0.057479 0.030804
8.944444 0.077790 0.033311
8.972222 0.037457 0.023836
9.000000 0.040454 0.023356
9.027778 0.023613 0.019379
9.055556 -0.003427 0.003427
9.083333 0.047251 0.027420
9.111111 0.020474 0.019898
9.138889 0.013494 0.013494
9.166667 -0.003423 0.003423
9.194444 0.023720 0.019467
9.222222 0.026923 0.019037
9.250000 0.077692 0.033269
9.277778 0.023959 0.019663
9.305556 0.054607 0.027303
9.333333 0.020267 0.019697
9.361111 0.108093 0.038217
9.388889 0.016835 0.019921
9.416667 0.020606 0.020026
9.444444 -0.013467 0.006733
9.472222 0.020392 0.019818
9.500000 0.000000 0.000000
9.527778 0.037003 0.023548
9.555556 0.020438 0.019863
9.583333 0.037309 0.023743
9.611111 0.023537 0.019316
9.638889 0.053881 0.026940
9.666667 0.023543 0.019321
9.694444 0.013498 0.013498
9.722222 0.050476 0.027130
9.750000 0.020267 0.019697
9.777778 0.078617 0.033665
9.805556 0.023696 0.019446
9.833333 0.020334 0.019762
9.861111 0.027119 0.019176
9.888889 0.037292 0.023732
9.916667 0.034112 0.024121
9.944444 0.027142 0.019192
9.972222 0.050892 0.027354
10.000000 0.037180 0.023660
10.027778 0.254889 0.060253
10.055556 0.254320 0.059220
10.083333 0.441209 0.078915
10.111111 0.791174 0.103495
10.138889 0.804646 0.104368
10.166667 0.590120 0.160942
