# time rate rate_error
0.000000 1.051110 0.206672
0.027778 0.779157 0.105323
0.055556 0.607957 0.092937
0.083333 0.530337 0.089313
0.111111 0.509694 0.087076
0.138889 0.413468 0.077704
0.166667 0.348858 0.071446
0.194444 0.263113 0.061336
0.222222 0.082659 0.039763
0.250000 0.052380 0.038086
0.277778 0.014005 0.020420
0.305556 0.130339 0.046046
0.333333 0.030992 0.024346
0.361111 0.079987 0.045290
0.388889 0.116593 0.043941
0.416667 0.035027 0.032301
0.444444 0.089697 0.042321
0.472222 0.134210 0.050646
0.500000 0.056035 0.040852
0.527778 0.021369 0.029271
0.555556 0.062401 0.037671
0.583333 0.088918 0.036426
0.611111 0.047958 0.027706
0.638889 0.044658 0.027920
0.666667 0.023993 0.019602
0.694444 0.054953 0.031238
0.722222 0.065272 0.034249
0.750000 0.003678 0.014821
0.777778 0.024327 0.024782
0.805556 0.024326 0.024781
0.833333 0.099304 0.039065
0.861111 0.068250 0.030522
0.888889 0.027303 0.019306
0.916667 0.010329 0.014054
0.944444 0.058322 0.031085
0.972222 0.021008 0.025011
1.000000 -0.012959 0.016593
1.027778 0.076352 0.042822
1.055556 0.028738 0.036018
1.083333 0.014715 0.029645
1.111111 0.051992 0.034899
1.138889 0.116916 0.046481
1.166667 -0.002268 0.026515
1.194444 -0.012248 0.027143
1.222222 0.004735 0.030190
1.250000 -0.066216 0.021276
1.277778 0.008063 0.030017
1.305556 0.007358 0.020964
1.333333 0.017706 0.025264
1.361111 0.027657 0.024564
1.388889 0.024338 0.024793
1.416667 0.051648 0.031427
1.444444 0.010681 0.020692
1.472222 0.031336 0.028688
1.500000 0.068616 0.034097
1.527778 0.000353 0.015190
1.555556 0.051639 0.031421
1.583333 0.020659 0.019876
1.611111 0.034306 0.024109
1.638889 0.055322 0.034744
1.666667 0.004030 0.021217
1.694444 -0.012245 0.027136
1.722222 0.041651 0.031935
1.750000 0.119903 0.043810
1.777778 0.075318 0.033794
1.805556 0.075238 0.033758
1.833333 0.023987 0.019598
1.861111 0.000352 0.015185
1.888889 0.034306 0.024109
1.916667 0.024339 0.024795
1.944444 0.034667 0.028500
1.972222 0.054926 0.031223
2.000000 0.007709 0.025884
2.027778 0.007711 0.025892
2.055556 0.024347 0.024803
2.083333 0.000352 0.015183
2.111111 0.045019 0.031792
2.138889 0.037653 0.023893
2.166667 0.044646 0.027913
2.194444 0.061677 0.030921
2.222222 0.085630 0.036593
2.250000 0.194940 0.053223
2.277778 0.211739 0.054799
2.305556 0.505569 0.084434
2.333333 0.495174 0.083246
2.361111 0.747907 0.101351
2.388889 0.659071 0.095752
2.416667 0.761680 0.102283
2.444444 0.522798 0.085507
2.472222 0.441154 0.080136
2.500000 0.400227 0.076574
2.527778 0.236115 0.060155
2.555556 0.246235 0.059914
2.583333 0.154335 0.050046
2.611111 0.065291 0.034259
2.638889 0.058256 0.031050
2.666667 0.071963 0.033945
