# time rate rate_error
0.000000 0.031474 0.046183
0.027778 0.022019 0.045131
0.055556 0.137755 0.095287
0.083333 0.157648 0.075121
0.111111 0.013576 0.042785
0.138889 0.069559 0.057107
0.166667 -0.016574 0.041729
0.194444 0.024773 0.035771
0.222222 0.041615 0.038121
0.250000 -0.022082 0.031328
0.277778 -0.008841 0.030603
0.305556 -0.029249 0.023479
0.333333 0.021746 0.038962
0.361111 0.044336 0.031422
0.388889 0.020652 0.024744
0.416667 0.004930 0.036699
0.444444 0.020927 0.028959
0.472222 0.078245 0.039459
0.500000 0.065026 0.040017
0.527778 0.004657 0.033451
0.555556 0.102467 0.048826
0.583333 -0.006370 0.086495
0.611111 0.039762 0.071871
0.638889 0.120367 0.058823
0.666667 -0.026964 0.070946
0.694444 0.257799 0.173727
0.722222 0.071073 0.068050
0.750000 0.173529 0.059243
0.777778 -0.008303 0.037268
0.805556 0.027814 0.032293
0.833333 -0.017955 0.040592
0.861111 0.042675 0.048544
0.888889 -0.052119 0.029212
0.916667 0.056194 0.050400
0.944444 0.011813 0.039365
0.972222 -0.048553 0.032696
1.000000 -0.025115 0.034901
1.027778 -0.038942 0.039307
1.055556 0.086544 0.053812
1.083333 0.042240 0.051393
1.111111 0.167334 0.071075
1.138889 0.069104 0.047605
1.166667 0.027824 0.032304
1.194444 0.082282 0.053533
1.222222 0.033336 0.040560
1.250000 0.038270 0.038230
1.277778 0.022361 0.040995
1.305556 -0.018235 0.037726
1.333333 0.007042 0.052416
1.361111 0.032488 0.046524
1.388889 -0.009235 0.041452
1.416667 0.035809 0.048931
1.444444 0.034892 0.068281
1.472222 -0.064623 0.065705
1.500000 0.000000 0.000000
1.555556 0.000000 0.000000
1.611111 0.807295 0.719385
1.638889 0.088118 0.145769
1.666667 0.109417 0.074990
1.694444 0.196581 0.092991
1.722222 0.262712 0.126570
1.750000 0.227925 0.188115
1.777778 0.397286 0.161121
1.805556 0.941700 0.163163
1.833333 0.588782 0.095773
1.861111 0.882682 0.114887
1.888889 0.693839 0.105299
1.916667 0.728562 0.105550
1.944444 0.522182 0.091916
1.972222 0.486171 0.082367
2.000000 0.341589 0.070742
2.027778 0.203785 0.062140
2.055556 0.230776 0.065005
2.083333 0.113890 0.059450
2.111111 -0.021464 0.035775
2.138889 0.198461 0.156252
2.166667 0.144339 0.063392
2.194444 0.065024 0.040016
2.222222 0.029539 0.035390
2.250000 0.034169 0.028201
2.277778 0.112734 0.050800
2.305556 0.041893 0.057970
2.333333 0.175744 0.106484
2.361111 0.074721 0.065394
2.388889 -0.004354 0.075122
2.416667 0.019697 0.065633
2.444444 0.065011 0.040008
2.472222 0.044391 0.054851
2.500000 0.079361 0.049634
2.527778 -0.008683 0.031113
2.555556 0.004388 0.029893
2.583333 -0.014913 0.037547
2.611111 0.091364 0.062527
2.638889 0.020917 0.028944
2.666667 0.000810 0.026043
2.694444 0.050361 0.042411
2.722222 0.017883 0.051837
2.750000 0.029877 0.058468
2.777778 -0.039527 0.031396
2.805556 -0.006155 0.033834
2.833333 0.041476 0.048516
2.861111 0.032726 0.037996
2.888889 -0.012961 0.016426
2.916667 0.054545 0.034369
2.944444 0.027281 0.024311
2.972222 0.023962 0.024524
3.000000 0.006883 0.014283
3.027778 0.074649 0.057484
3.055556 0.026018 0.053328
3.083333 0.044063 0.051542
3.111111 -0.015458 0.030963
3.138889 -0.002611 0.045046
3.166667 0.083825 0.070592
3.194444 0.024523 0.032485
3.222222 0.050974 0.031086
3.250000 0.013770 0.020205
3.277778 0.068923 0.101135
3.305556 0.041299 0.034988
3.333333 0.040779 0.027805
3.361111 0.071368 0.036785
3.388889 0.027279 0.024308
3.416667 0.010739 0.025416
3.444444 0.010736 0.025409
3.472222 0.033895 0.023853
3.500000 0.057584 0.030729
3.527778 0.020666 0.024760
3.555556 0.010467 0.020483
3.583333 0.030593 0.024087
3.611111 0.040780 0.027806
3.638889 -0.009653 0.016088
3.666667 0.020661 0.024754
