# x xerr y yerr
0.972222 0.125000 0.499010 0.082271
3.375000 0.083333 0.662090 0.094703
5.708333 0.111111 0.567679 0.087845
7.944444 0.041667 0.824979 0.105438
10.347222 0.083333 0.574382 0.087822
12.583333 0.125000 0.581495 0.088597
