# x xerr y yerr
0.708333 0.138889 0.461412 0.080365
3.152778 0.083333 0.529425 0.083235
5.500000 0.069444 0.551861 0.085468
7.986111 0.055556 0.483569 0.080125
10.375000 0.055556 0.666886 0.093414
12.902778 0.111111 0.404843 0.072831
15.208333 0.083333 0.596142 0.088259
17.694444 0.097222 0.385428 0.071186
20.055556 0.069444 0.628547 0.090895
