id mjdref kt_low kt_hi 
xmm1 59067.871 0.081 0.099
xmm2 59616.82 0.071 0.102
xmm3 59751.962 0.097 0.129
xmm4 60298.253 0.075 0.105
xmm5 60344.092 0.093 0.118
