id mjdref kt_low kt_hi 
xmm1 59067.871 0.059 0.067
xmm2 59616.82 0.058 0.071
xmm3 59751.962 0.063 0.076
xmm4 60298.253 0.060 0.071
xmm5 60344.092 0.058 0.067
